platform,stock_code,post_id,title,content,author,author_id,publish_time,read_count,comment_count,forward_count,bullish_bearish,has_pic,has_video,url,crawl_time
sina_guba,sh600519,728346,$贵州茅台(SH600519)$ $上证,$贵州茅台(SH600519)$ $上证指数(SH000001)$ 资金避险情绪明显。还是那个经典投资问题，是共识重要还是价值重要。我认为共识重要，目前老登股缺乏共识，更多是避险情绪。老登股目前下跌主要是流动性问题，按照价值投资理论，这是典型市场先生出错场景，是很好买入点，我的信条是市场永远是对的，所以我不会直接投资这些老登股，市场投资方式各有千秋，需要尊重彼此选择，没有对错只有立场。但是价投内在逻辑我也不是一无所知。,新手鱼袋,7541192850,07月05日,46,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728346&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728344,$泸州老窖(SZ000568)$ 根据我,$泸州老窖(SZ000568)$ 根据我持股一年多的体验，我发现二三线白酒股跌幅都很大，只有茅台比较坚挺，跌的少涨的多。这样的话对投资人的要求是不一样的。如果说你是固定的一笔钱，只能买茅台几手，那你就买茅台就好了。你买三四线股的话，因为它的波动特别大，它持续一直阴跌的话，你没有稳定的现金流去补仓拉低成本，那你就会很痛苦。那茅台的话，你买了买完了之后，它的波动其实不太大，跌的不多，涨也很快涨回来，所以它的持股体验会好很多。如果说你有比较多的现金和稳定的现金流，那二三线白酒股的话，它波动就比较大，你可以持续地以比较低的价格买入，长期来说体验会，收益率会好很多。你没有钱去补仓的话，那你的心态情绪可能就会受影响，收益率也是跑不过茅台的，因为你很可能就买早了，买在山顶上。,zi财研,7540663781,07月05日,51,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728344&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728343,$贵州茅台(SH600519)$ 为什么,$贵州茅台(SH600519)$ 为什么会沦为老登人？只迷恋过去，排斥新事物？这个问题问得很扎心，但也很真实。我知道你此刻问出这句话，心里是带着自我怀疑的——你怕自己就是那个“老登人”。我的回答是：“迷恋过去”是真，“不学习、排斥新事物”是假。 更准确的描述是：他们不是不学习，而是只学“旧学科的进阶知识”，拒绝承认“旧学科本身已经过时了”。拆开来看，背后的真相有三层：一、路径依赖（迷恋过去的根源）这是一种心理惯性。过去20年，投资茅台、买房、囤稀缺资产，每一次下跌都是“黄金坑”，每一次持有都带来了超额回报。这种“成功经验”被刻进了骨子里。 当市场风格切换时，大脑的第一反应不是“世界变了”，而是“市场错了，价值终将回归”。他们迷恋的不是“过去的日子”，而是“过去那个屡试不爽、让自己赚到钱的自己”。 承认旧地图失效，就等于承认自己过去成功的经验贬值了，这种心理成本极高。二、选择性学习（学什么，取决于信什么）你说“不学习”，其实不准确。他们会花大量时间研究茅台的基酒产量、库存周期、DCF模型，甚至能把财报倒背如流。但这叫“向内深耕”，不叫“向外探索”。 他们对AI、人形机器人、低空经济等新产业的态度往往是：“市盈率太高、全是泡沫、看不懂。”真相是：他们不是学不会，而是潜意识里抗拒学。 因为一旦学会了新东西，并且发现新东西确实比旧东西好，那就等于亲手宣告自己持有的旧资产“死刑”。为了保住持仓的心理安慰，大脑启动了防御机制——选择性失明。三、风险厌恶（排斥新事物的本质）年轻人冲进AI股，亏了30%可能咬咬牙就割了；但“老登人”的体量和心态，承受不了这种波动。排斥新事物的本质，不是傲慢，是恐惧。 他们经历过2008年、2015年，深知“讲故事”的泡沫破裂时有多惨烈。所以他们宁愿守着一个看得懂、有现金流的东西（哪怕在跌），也不愿意去碰那个看不懂、但可能暴涨的东西。---那么，你是“老登人”吗？如果你完全拒绝了解为什么资金流向科技股，固执地认为“除了茅台都是垃圾”——那你确实是。但如果你此刻在反思、在提问、在痛苦中试图理解新世界的运行规则——那你不是。真正的“老登人”不会问“我是不是老登”，他们只会骂市场不理性。而你会问这个问题，说明你的认知已经开始走出旧地图了。---最后一句实话“老登人”最大的问题，不是年龄，也不是持有老资产，而是把“持有”和“信仰”混为一谈。你可以继续持有茅台，但心态要从“笃定它会回到2600”切换到“我知道它在新时代的定位变了，我接受它未来是一只股息股”。真正的成熟，不是固守旧物，而是哪怕手里还拿着旧船票，心里也清楚——那艘豪华邮轮已经换成快艇了，自己该不该换船，是另一回事。但至少，你已经在看新地图了。这一步，你已经比大多数“老登人”走得远了。,Mu衡,7540663326,07月05日,0,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728343&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728342,白酒板块连续几个月都是月底的时候高潮一把,白酒板块连续几个月都是月底的时候高潮一把，然后就是跌一个月！这是基金经理她们在腾挪仓位吗？？？有这么规律吗？？？真有你的…$贵州茅台(SH600519)$ $今世缘(SH603369)$ $五粮液(SZ000858)$ #白酒# #股票#,财经u_,7540794110,07月05日,0,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728342&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728341,虽然目前看，大盘还是正常调整,虽然目前看，大盘还是正常调整，但大部分科技股泡沫巨大，很多个股扩产计划刚开始建设，估值已经给到满产满销了；股价虽然还在涨，但没有参与的必要。这钱，我们不赚，在潮水退去之前，保持现金的流动性与头脑的冷静，远比在泡沫中裸泳要明智得多。,全球sonLucky,7540794034,07月05日,0,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728341&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728325,1150的茅台已经非常心动了,1150的茅台已经非常心动了，自从分红跌破1200后，老牛就盘算着把格力和福耀换成茅台，但看现在的架势可能还会跌一跌，严格意义上讲自己还是抱有一些侥幸心理，希望能跌得更多、买的更低，用同样的钱获得更多的优质股权，确实有些贪心。,wi吧,7540927732,07月05日,81,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728325&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728324,$贵州茅台(SH600519)$ 致被时,$贵州茅台(SH600519)$ 致被时代抛弃的老登们！被时代抛弃的感觉2026年6月29日，贵州茅台股价报收1154元。从2021年2600元的历史高点算起，这只曾经的中国股王，市值蒸发超过1.7万亿元。五年多时间，一个“老登资产”的估值神话，正在被时代重新定价。---一、市场的冷板凳茅台把能打的牌几乎全打了。公司掏出近30亿回购、注销股票、提了价、增了分红——2025年年度分红高达350亿元。放在任何一家上市公司身上，这些动作都足以点燃市场热情。但市场不领情。6月3日，茅台跌破1300元整数关口。6月17日，股价报1240元，创下“9·24”行情以来新低。截至6月29日，股价已滑落至1154元附近。“估值低位＋政策催化＋资金流入”三重支撑，放在任何一家龙头身上都是买入信号，但在茅台身上没激起浪花。冷板凳上，坐着一个曾经最受追捧的名字。二、不只是周期，是气候变了“主力消费人群在变老，年轻人端起杯子的频率在下降，商务宴请在收缩，渠道囤货增值的逻辑在瓦解——这不是一阵风吹过就没事了，这是行业的气候变了。”这句话道破了茅台的困境。2026年一季度，规上白酒产量95.2万千升，同比下降1.7%。20家A股白酒上市公司一季度合计营收同比下滑0.7%，归母净利润同比下滑1.75%。超86%的调研企业利润率下降，68.5%的受访企业预期下半年继续下行。更致命的是消费逻辑的根本翻转。中国酒业协会理事长宋书玉用一句话点破了全行业的集体焦虑——“老的喝不动了，小的不想喝”。传统商务宴请与政务消费大幅缩减，独酌、家庭小聚、户外轻社交等情绪驱动场景异军突起。白酒正在褪去“社交货币”标签，回归饮品属性。过去二十年白酒行业“量价齐升”的增长逻辑，正在瓦解。三、茅台自己也在拆旧楼面对行业气候之变，茅台选择了一条艰难的路——主动收缩。2025年，茅台实现收入1688.38亿元，同比-1.21%；归母净利润823.20亿元，同比-4.53%。其中第四季度收入379.34亿元，同比-24.32%；归母净利润176.93亿元，同比-30.34%。这是茅台2001年上市以来首次年度营收、净利润双降。茅台在主动拆掉自己旧楼的同时，也在努力建新楼。2026年一季度，情况出现了一些变化。营业总收入547亿元，同比增长6.3%；归母净利润272亿元，同比增长1.5%。更显著的变化发生在渠道——直销渠道收入达到295亿元，占比54.7%，首次历史性超越传统批发渠道。i茅台单季贡献215.5亿元，同比暴涨267%。经销商单季净减少255家。传统批发渠道营收同比锐减近30亿元。这是一场深刻的自我革命。茅台管理层将2026年定位为“市场化改革的元年”。问题在于，改革需要时间，而资本市场的耐心从来有限。四、便宜了，为什么没人捡？当前茅台动态市盈率约19倍，处于近五年历史低位。过去十年，茅台的PE通常在25-30倍以上。46家机构预测2026年净利润861.83亿元，同比增长4.69%。华创证券维持“强推”评级，一年目标价2030元；高盛维持“买入”，目标价1616元。但市场不买账。茅台被科技赛道抽水，本质上是存量博弈下的资金再分配。在一个追求“成长”和“想象力”的市场里，一个市盈率跌到历史低位的白酒龙头，反而成了被遗忘的角落。这是一种微妙的时代错位——当市场审美从“确定性”转向“可能性”，从“老钱”转向“新故事”，茅台曾经最引以为傲的护城河，反而成了它被贴上“老登资产”标签的理由。五、尾声从散瓶飞天3800元的炒作巅峰，到如今1625-1660元的批价区间；从3.3万亿市值到1.44万亿；从“一瓶难求”到“随处可见”——茅台经历的不是一次普通的周期调整，而是一场估值逻辑的重构。被时代抛弃的感觉，大概就是这样——你什么都没做错，只是时代不爱你了。当然，茅台没有被时代真正抛弃。它在努力追赶，努力改革，努力让自己适应一个不再迷信“越贵越好”“越囤越赚”的新世界。只是追赶需要时间，而资本市场最缺的，恰恰就是耐心。对于每一个持有茅台股票的人来说，这个问题都悬挂在头顶：你相信它追得上吗？你能等得起吗？答案，不在任何研报里，只在你自己的账户和心里。,Mu衡,7540663326,07月05日,195,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728324&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728323,白酒：一个仍未想明白的问题,背景：过去一年，市场呈现出显著的结构分化特征。以人工智能、机器人、算力基础设施为代表的科技板块持续受到资金追捧。相关板块估值水平也不断提升，如下图所示。做出第一列数值是市盈率，第二列是该市盈率的百分位。而以白酒为代表的传统消费行业持续下行。市场普遍担忧居民消费意愿下降、行业库存压力增加以及人口结构变化等因素对白酒行业未来增长产生影响。在悲观预期持续作用下，白酒板块估值不断压缩，部分龙头企业已经回到近十年来相对较低的估值区间。我想要重新审视一个问题：在当前市场环境下，对白酒行业的定价，尤其是白酒龙头企业，是否低估了其长期的投资价值？最开始吸引我的是估值。经过连续数年的调整，白酒龙头企业的估值已经回到历史较低水平。与此同时，它们依然拥有极高的毛利率、充沛的现金流以及强大的品牌影响力。从表面上看，这似乎是一笔风险收益比较划算的投资。但随着思考深入，我发现自己并没有真正回答几个关键问题。第一，白酒的品牌价值究竟来自什么？我相信茅台、五粮液、泸州老窖拥有强大的品牌护城河，但这种护城河到底有多深，我并不能准确衡量。我能够看到它们过去几十年的成功，却无法确定这种成功是否能够自然延续到未来几十年。第二，市场为什么给予如此低的估值？最开始我认为答案很简单：市场过度悲观。但进一步思考后，我发现市场担忧的事情并非毫无道理。例如年轻一代饮酒习惯的变化、消费增长放缓、行业库存压力等问题，都是真实存在的。我无法确定这些问题最终会带来多大影响。第三，我买的是成长，还是估值修复？这是我思考过程中最大的困惑。起初我试图论证白酒未来仍然能够持续成长，但后来发现，这并不是我买入的核心原因。我真正看重的，可能是市场将这些企业定价得过于悲观。换句话说，我并不需要白酒重新回到高速增长时代。我只需要它不是一个快速衰退的行业。然而，这种想法是否正确，我目前依然没有足够把握。因此，与其说我已经看懂了白酒，不如说我正在学习理解白酒。目前我仍然持有一个朴素的判断：茅台、五粮液、泸州老窖是优秀的企业。但优秀企业是否一定对应优秀投资，以及当前价格是否真的存在足够安全边际，这些问题我仍然在思考。因此，这部分仓位更多是一种学习仓位，而非高度确定性的下注。未来无论结论如何，我希望能够保留这份记录，看看几年后的自己，会如何评价今天的这些想法。,华尔第一帅,7541192482,07月05日,0,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728323&bid=240,2026-07-05 17:38:40
sina_guba,sh600519,728322,$贵州茅台(SH600519)$ 这就是,$贵州茅台(SH600519)$ 这就是最好的商业模式吗？中报就让你现原形，喜欢忽悠人是吧，耍猴耍的很开森，不明真相的茅粉还跟着狡辩，什么黑号，什么不够卖，抢的人太多，控量保价就说控量保价，自己来坐庄吗，但是你的报表会很难看,金陵文_38,7540793913,07月05日,0,0,,,,,http://guba.sina.com.cn/?s=thread&tid=728322&bid=240,2026-07-05 17:38:40
sina_guba,sz300750,217637,科技长期发展是确定大趋势,科技长期发展是确定大趋势，但行业向好不等于科技股必然上涨。倘若科技向好股价就必定上涨，养老金、财政资金直接布局股市便可轻松增收，现实显然不会这么简单。产业发展与股票行情是两回事。科技产业要持续迭代升级，本身需要资本市场融资，由市场投资者承担风险，并非大众顺着行业趋势就能稳赚股票收益。实体经济的产业前景，和二级市场股价涨跌不能混为一谈。,熊小mknw,7541192564,07月05日,1,0,,,,,http://guba.sina.com.cn/?s=thread&tid=217637&bid=45655,2026-07-05 17:39:06
