post_id,user_id,author,created_at,title,text,reply_count,like_count,retweet_count,view_count,symbol,stock_name,source,url,truncated,fav_count,crawl_time
393113607,5380354349,买点买or卖点卖,2026-06-05 07:05:26,,$ST得润(SZ002055)$ 股票跌，就在这骂公司泄气，为何不反思没在涨停那天卖？涨停后的跌停给机会为何不出？得润截至目前未来并不明朗，你要人家天天拉涨停给你赚钱？40亿的盘子，散户买了一大半，你要人家拉？多一点冷静（分析），少一点抱怨。加油吧！,10,5,0,15515,SZ002055,ST得润,iPhone,https://xueqiu.com/5380354349/393113607,0,1,2026-07-08 16:24:51
393116009,6219951047,老王要搞事,2026-06-05 07:12:16,,$ST得润(SZ002055)$ 明显没主力的走势 ，底部热度太高，主力拉不动就跑路了,0,0,0,9503,SZ002055,ST得润,Android,https://xueqiu.com/6219951047/393116009,0,0,2026-07-08 16:24:50
393116391,5942251592,简朴的金条小风车屋,2026-06-05 07:13:26,,$ST得润(SZ002055)$ 这玩意现在也没啥好分析的了，5.18这波纯粹情绪炒作，叠加主板资金高低切进来玩了个波段。跟所谓消息面一点关系也没有。公司基本面是真的不错，国资入住和摘帽也是迟早的事。不过定增必须等到27年一季报以后了，现阶段有耐性的就熬，没耐性的这半年跟着游资做波段吧。估计后续还会这样玩，但最终都会回到20均线附近，这也是定增基准价格的压制，这没有办法！,25,6,0,21306,SZ002055,ST得润,Android,https://xueqiu.com/5942251592/393116391,0,0,2026-07-08 16:24:50
393134018,1984899483,退市中国姬松高中,2026-06-05 08:25:41,,$ST得润(SZ002055)$ 等散户割肉就会涨,1,0,0,11503,SZ002055,ST得润,Android,https://xueqiu.com/1984899483/393134018,0,0,2026-07-08 16:24:50
393140028,4850557927,山古之人,2026-06-05 08:53:53,,$ST得润(SZ002055)$ 慢慢熬把，4-5W的散户， 这么点市值， 玩个JJ啊,0,1,0,11555,SZ002055,ST得润,雪球,https://xueqiu.com/4850557927/393140028,0,0,2026-07-08 16:24:50
393144205,7726675448,爽朗的致富小帽子,2026-06-05 09:15:21,,$ST得润(SZ002055)$ 这股就是太热闹了，上个月就感觉不对了,0,0,0,11166,SZ002055,ST得润,iPhone,https://xueqiu.com/7726675448/393144205,0,0,2026-07-08 16:24:50
393157720,4850557927,山古之人,2026-06-05 10:35:53,,$ST得润(SZ002055)$ 如果 你是玩短线，那么切勿幻想，尊重盘面，走坏了就是走坏了，别原本套个2-3个点的，到时候变成20-30个点。听消息炒股 这是大A 的禁忌,2,3,0,13047,SZ002055,ST得润,雪球,https://xueqiu.com/4850557927/393157720,0,0,2026-07-08 16:24:50
393171835,5242908643,ST价值投资2026,2026-06-05 12:28:42,,$ST得润(SZ002055)$ 这股上午换好好的，下午被大盘大跌带下来了。差不多四个叠停了，下周一大概率会高开涨停,2,3,0,10824,SZ002055,ST得润,Android,https://xueqiu.com/5242908643/393171835,0,0,2026-07-08 16:24:50
393184228,1505804711,修心谨言wy,2026-06-05 13:55:24,,$ST得润(SZ002055)$ 股权分散不是下跌的因素，高估才是，现在是低估，磨一段时间。,0,3,0,13335,SZ002055,ST得润,Android,https://xueqiu.com/1505804711/393184228,0,0,2026-07-08 16:24:50
393185210,4850557927,山古之人,2026-06-05 14:00:47,,$ST得润(SZ002055)$ 把家电这块业务买掉吧，主攻AI和汽车就好了。,2,0,0,14537,SZ002055,ST得润,雪球,https://xueqiu.com/4850557927/393185210,0,0,2026-07-08 16:24:50
393186438,9027667784,年年有余1996,2026-06-05 14:08:24,,$ST得润(SZ002055)$ 中报前估计震荡筑底，如果中报好再起一波行情，今年中报净利有没有一个亿？,0,2,0,11329,SZ002055,ST得润,Android,https://xueqiu.com/9027667784/393186438,0,0,2026-07-08 16:24:50
393193830,5103965358,ST稳稳的幸福,2026-06-05 14:58:34,【ST稳稳的幸福】6月第1周ST板块周复盘｜资金择优配置摘帽标的，题材炒作逐步被资金抛弃,"$*ST瑞茂(SH600180)$ $ST得润(SZ002055)$ $ST板块(BK0400)$ 【ST稳稳的幸福 | 用规则量化风险，用数据呈现事实】🔥 一句话核心定调本周ST板块经历了一轮完整的冰火两重天行情——周一板块大跌、跌停家数高达65家创年内新高；周三指数大涨0.60%，主力资金净流入，ST涨停家数飙升至34家，成为本周情绪高点；周四、周五高位标的批量补跌，跌停家数再次冲高至65家，涨停家数萎缩至6家。资金从纯情绪炒作标的集体撤离，向摘帽落地标的和有实质公告支撑的确定性标的集中。4家公司完成摘星摘帽集中落地，退市常态化执行力度不减，摘帽确定性是唯一护身符。一、本周板块整体行情全景复盘1.1 ST板块每日核心交易数据（2026.06.01-06.05）热度评估：本周ST板块经历了一轮完整的“冰→火→冰”情绪周期。6月1日（周一）板块大幅下挫，跌停家数约65家且收盘封死跌停，市场恐慌情绪集中释放，ST板块批量遭遇重挫。6月2日（周二）资金开始试探性回流，ST涨停家数回升至约15家，*ST闻泰等部分低位标的反弹，摘帽确定性品种率先获得资金认可。6月3日（周三）指数大涨0.60%，ST涨停家数飙升至34家，主力资金净流入约1.35亿元，4家摘帽标的集中复牌批量涨停，成为本周情绪最高点。6月4日（周四）板块拐头向下，指数跌1.17%，主力资金大幅净流出12.3亿元，高位情绪标的集体退潮，前期连板标的批量回撤，退潮信号明确。6月5日（周五）板块加速分化，跌停家数再次冲高至约65家且收盘封死跌停，涨停家数萎缩至6家，纯情绪标的全线退潮，资金彻底抛弃无公告支撑的题材炒作，摘帽主线成为少数红盘方向。1.2 本周核心数据二、涨停榜深度拆解（一）摘帽落地——本周最强主线本周共有4家公司正式摘星摘帽，6月3日集中复牌：核心观察：4家摘帽标的集中落地，复牌首日表现分化明显。荣丰控股以2.02%领涨，体现资金对“仅摘星”优质标的的认可；ST朗源收跌2.18%，利好兑现即出货。只有荣丰控股和中交地产符合S/A级“仅剩时间约束”的标准，交投生态虽完成双重撤销，但盘中无明显增量资金承接，说明市场对“一次性过线”的纯摘帽标的缺乏持续推动力。（二）摘帽/摘星推进类ST大晟4月30日提交摘星申请，目前仍处补充材料阶段；ST春天问询函延期回复，回复进度将是摘星前置条件，目前问询函未回复叠加补充材料未落地，摘星窗口仍在延后。三、跌停榜核心风险拆解（一）立案调查类（文字版）*ST节能（000820）D级：6月2日收到证监会《立案告知书》，因涉嫌信披违法违规被立案调查；公司4月28日刚向深交所提交撤销退市风险警示申请，目前处于补充材料阶段。立案后连续多日跌停（6月3日、6月4日一字跌停）。*ST岭南（002717）D级：6月1日收到广东证监局《行政处罚事先告知书》，拟罚款800万元，原实控人拟10年市场禁入。6月3日起被叠加实施其他风险警示，持续承压。ST节能立案调查期间不得申请摘帽，若查实重大违法将直接退市；ST岭南同时涉及虚减利润、隐瞒刑事立案等重大违规，双重风险共振。（二）退市/摘牌类*ST万方（000638）：因连续20个交易日总市值低于5亿元触发市值退市，6月3日正式摘牌。此前1月13日至4月13日期间该股区间内累计录得43个跌停板（期间有开板震荡）。交易类强制退市不设退市整理期，持仓者直接归零。已退市。（三）问询/诉讼/暴雷类四、本周核心事件深度拆解1. 四家公司集中摘帽，复牌首日分化明显6月3日，ST中地、ST荣控、*ST交投、ST朗源四家公司同日撤销风险警示复牌。其中：*ST中地（000736） ：撤销退市风险警示，简称变更为“中交地产”，系仅摘星（从未触发ST）。*ST荣控（000668） ：撤销退市风险警示，简称变更为“荣丰控股”，系仅摘星。*ST交投（002200） ：撤销退市风险警示及其他风险警示，简称变更为“交投生态”，系双重撤销（摘星+摘帽）。ST朗源（300175） ：撤销其他风险警示，简称变更为“朗源股份”，系仅摘帽（创业板，涨跌幅20%，此前无*ST）。核心判断：摘帽主线正式兑现，但板块内部已进入“唯确定性”阶段——交投生态双重撤销却收跌，荣丰控股仅摘星反而领涨，资金更认可标的质地而非“故事性”。符合S/A级定位的标的走独立行情，一次性过线的纯摘帽标的缺乏持续性。2. ST节能被立案，ST岭南被叠加ST*ST节能（000820）6月2日收到证监会《立案告知书》，因涉嫌信披违法违规被立案调查。公司4月28日刚向深交所提交撤销退市风险警示申请，目前处于补充材料阶段。立案后不得申请摘帽，若查实重大违法可直接触发退市。6月3日开盘即一字跌停，立案后连续多日跌停。*ST岭南（002717）6月1日收到广东证监局《行政处罚事先告知书》，拟罚款800万元，原实控人拟10年市场禁入。6月3日起被叠加实施其他风险警示，资金博弈行政处罚落地之后的利空出尽效应，与基本面无直接关联。3. *ST万方累计43个跌停后正式摘牌*ST万方因连续20个交易日总市值低于5亿元触发市值退市，6月3日正式摘牌。此前1月13日至4月13日期间，该股区间内累计录得43个跌停板（期间有开板震荡），一度创下2026年ST板块最长连续跌停纪录。交易类强制退市不设退市整理期，持仓者直接归零。4. *ST华西：2024、2025年连续两年内控被出具无法表示意见*ST华西（002630）6月4日涨停，收报1.85元，涨幅5.11%，换手率5.61%。公司2025年经审计期末净资产为-5,806.51万元（2025年年报口径），2024年、2025年连续两年内控被出具无法表示意见，且存在多项债务逾期，基本面尚未改善。该股连板属纯情绪炒作，无基本面支撑，若后续无实质利好落地，随时面临补跌风险。五、盘面核心总结摘帽落地主线正式兑现：4只标的集中落地，摘帽主线成功兑现。板块分化进入唯确定性阶段，仅摘星优质标的（荣丰控股、中交地产）走出独立行情，一次性过线的纯摘帽标的（ST朗源、交投生态）缺乏增量资金承接，复牌即收跌，资金更认可标的质地而非“故事性”。立案调查加速风险出清：ST节能、ST岭南被立案/处罚，叠加ST金鸿顺、*ST岭南被叠加ST，信披违规标的批量承压，资金加速撤离无公告支撑的情绪炒作。当前阶段所有分析与判断必须以上市公司正式公告为唯一依据。涨跌停两极分化：一边是摘帽标的批量复牌、情绪连板反复活跃，另一边是立案调查标的批量跌停、退市标的43连跌停后摘牌，板块内部撕裂达到极致。资金彻底抛弃纯情绪博弈：主力资金优先撤离高风险标的，向有实质性公告支撑的确定性标的集中。没有公告支撑的上涨随时崩盘，*ST景谷7连板后迅速转跌即是最新案例。六、下周跟踪方向🎯核心跟踪：荣丰控股、中交地产等摘星落地标的次日资金承接力度；*ST大晟摘星补充材料进展；ST人福（600079）资产出售挂牌进展，2025年年报扣非净利润17.62亿元（同比+54.75%），处罚决定书于2025年12月29日下达，最早2026年12月29日后可申请摘帽。⚠️谨慎观察：ST威领、ST海王等高位连板情绪标的，仅作为板块情绪风向标，出现放量滞涨或开板立即离场；ST英飞预重整进展（C级，预重整推进中，需跟踪法院受理进展）；ST节能立案调查后续；ST华西等纯情绪3连板标的，随时面临补跌风险。🚫坚决回避：已触发退市或立案调查的标的（ST节能、ST岭南）、无基本面纯情绪连板标的、连续跌停无承接标的、ST惠程（担保风险）、ST金鸿顺（资金占用）、ST得润（担保诉讼未结），全部列入风控黑名单。📌 本周核心金句：摘帽落地是本周唯一安全主线，而所有没有公告支撑的暴涨，终将在规则面前一地鸡毛。4家公司集中摘帽，4只标的同步锁定退市——达标者留，违规者出，规则从不因人而异。最近后台收到很多朋友的留言，希望能同步我的实盘操作节奏，对照自己的交易。考虑到中长线标的的特殊性，公开持仓容易对股价造成不必要的干扰，也不利于大家形成独立的交易判断，所以我会把个人实盘的完整跟踪记录，统一整理成专属的内容，整理完善后第一时间同步在我的同名主页，第一时间同步我的操作和思考。大家一直看的ST规则梳理、板块全景复盘、重大公告解读，我会一直保持更新，质量也不会打折扣，服务所有关注的朋友。把精力留给那些真正值得花时间研究的标的，回避所有靠侥幸支撑的 “真假美猴王”，才能在 ST 的世界里走得更远。⚠️完整合规声明：本文所有判断均基于沪深交易所及上市公司公开公告信息，所有暂定分级标的的最终正式评级，将在完成全面深度评测后，第一时间更新至【ST稳稳的幸福】-《ST个股评级总览V1.3》。投研决策应以原始公告为唯一依据，本文不构成任何投资建议。ST/*ST股票退市风险极高，投资策请自行判断，盈亏自负。#玻璃基板概念活跃，沃格光电创新高# #电力板块走弱，广西能源大跌# #AI应用板块下挫，MINIMAX-W大跌#",0,7,0,155260,SZ002055,ST得润,雪球,https://xueqiu.com/5103965358/393193830,0,6,2026-07-08 16:24:50
393243481,7607422716,St送钱人,2026-06-06 03:44:25,,$ST得润(SZ002055)$ 除了不涨，其他还行,0,3,0,12286,SZ002055,ST得润,iPhone,https://xueqiu.com/7607422716/393243481,0,0,2026-07-08 16:24:50
